Company,Parent,Volume,Date
BAC,Origin,16296700,1/3/2006
BAC,Origin,17757900,1/4/2006
BAC,Origin,14970700,1/5/2006
BAC,Origin,12599800,1/6/2006
BAC,Origin,15619400,1/9/2006
BAC,Origin,15634600,1/10/2006
BAC,Origin,14742100,1/11/2006
BAC,Origin,10546600,1/12/2006
BAC,Origin,10791000,1/13/2006
BAC,Origin,14605900,1/17/2006
BAC,Origin,10867000,1/18/2006
BAC,Origin,14584000,1/19/2006
BAC,Origin,24950800,1/20/2006
BAC,Origin,23459500,1/23/2006
BAC,Origin,13500300,1/24/2006
BAC,Origin,15132000,1/25/2006
BAC,Origin,18449100,1/26/2006
BAC,Origin,12250800,1/27/2006
BAC,Origin,14812100,1/30/2006
BAC,Origin,19151000,1/31/2006
BAC,Origin,15854700,2/1/2006
BAC,Origin,14745100,2/2/2006
BAC,Origin,17097000,2/3/2006
BAC,Origin,12554600,2/6/2006
BAC,Origin,13914200,2/7/2006
BAC,Origin,11101600,2/8/2006
BAC,Origin,13766200,2/9/2006
BAC,Origin,9038900,2/10/2006
BAC,Origin,8329500,2/13/2006
BAC,Origin,17049200,2/14/2006
BAC,Origin,12818500,2/15/2006
BAC,Origin,11773700,2/16/2006
BAC,Origin,11938900,2/17/2006
BAC,Origin,10380500,2/21/2006
BAC,Origin,14729600,2/22/2006
BAC,Origin,17345700,2/23/2006
BAC,Origin,13832400,2/24/2006
BAC,Origin,18460200,2/27/2006
BAC,Origin,20699000,2/28/2006
BAC,Origin,15576200,3/1/2006
BAC,Origin,14367400,3/2/2006
BAC,Origin,12399500,3/3/2006
BAC,Origin,11318400,3/6/2006
BAC,Origin,12823300,3/7/2006
BAC,Origin,14201200,3/8/2006
BAC,Origin,11922800,3/9/2006
BAC,Origin,12535400,3/10/2006
BAC,Origin,10090800,3/13/2006
BAC,Origin,14364000,3/14/2006
BAC,Origin,11344600,3/15/2006
BAC,Origin,13005400,3/16/2006
BAC,Origin,18970500,3/17/2006
BAC,Origin,11243700,3/20/2006
BAC,Origin,11774400,3/21/2006
BAC,Origin,11157200,3/22/2006
BAC,Origin,10793900,3/23/2006
BAC,Origin,10495000,3/24/2006
BAC,Origin,10450300,3/27/2006
BAC,Origin,16077800,3/28/2006
BAC,Origin,11836200,3/29/2006
BAC,Origin,12825100,3/30/2006
BAC,Origin,10968800,3/31/2006
BAC,Origin,11832600,4/3/2006
BAC,Origin,8823300,4/4/2006
BAC,Origin,10249600,4/5/2006
BAC,Origin,7795500,4/6/2006
BAC,Origin,9406600,4/7/2006
BAC,Origin,9100000,4/10/2006
BAC,Origin,8570000,4/11/2006
BAC,Origin,7157300,4/12/2006
BAC,Origin,7642200,4/13/2006
BAC,Origin,10618900,4/17/2006
BAC,Origin,16356400,4/18/2006
BAC,Origin,10493000,4/19/2006
BAC,Origin,17056200,4/20/2006
BAC,Origin,16502600,4/21/2006
BAC,Origin,12568100,4/24/2006
BAC,Origin,12677000,4/25/2006
BAC,Origin,19058900,4/26/2006
BAC,Origin,34554500,4/27/2006
BAC,Origin,29595900,4/28/2006
BAC,Origin,21093000,5/1/2006
BAC,Origin,19227800,5/2/2006
BAC,Origin,13745200,5/3/2006
BAC,Origin,15863000,5/4/2006
BAC,Origin,19401000,5/5/2006
BAC,Origin,10721900,5/8/2006
BAC,Origin,10343700,5/9/2006
BAC,Origin,11892500,5/10/2006
BAC,Origin,11227700,5/11/2006
BAC,Origin,15232200,5/12/2006
BAC,Origin,13367300,5/15/2006
BAC,Origin,8121100,5/16/2006
BAC,Origin,20638000,5/17/2006
BAC,Origin,13165300,5/18/2006
BAC,Origin,15761800,5/19/2006
BAC,Origin,16162600,5/22/2006
BAC,Origin,12592100,5/23/2006
BAC,Origin,17052700,5/24/2006
BAC,Origin,13871200,5/25/2006
BAC,Origin,15352800,5/26/2006
